"DATE","CPIUS","CPIEU","M2US","M2EU","IREU","IRUS"
1999-02-01,1.6059295861643,0.835616438356161,-6.42499999999927,-42.0600000000004,3.118,4.76
1999-03-01,1.72626387176327,1.02599179206565,37.3449999999993,18.1800000000003,2.9252,4.81
1999-04-01,2.27692307692307,1.13264192139737,62.4300000000003,21.27,2.7091,4.74
1999-05-01,2.08845208845208,0.994144082799929,-50.4099999999999,28.8499999999999,2.551,4.74
1999-06-01,1.96319018404907,0.939158840342985,35.1849999999995,25.8400000000001,2.5632,4.76
1999-07-01,2.14460784313725,1.0752688172043,24.1750000000002,16.6399999999999,2.5209,4.99
1999-08-01,2.26438188494492,1.17022724180159,15.5600000000004,-30.8600000000001,2.4427,5.07
1999-09-01,2.62836185819072,1.30665577786852,20.4650000000001,9.28999999999996,2.4336,5.22
1999-10-01,2.56097560975609,1.38869979577944,16.2999999999993,19.3600000000001,2.5019,5.2
1999-11-01,2.62195121951219,1.52484683458133,31.0350000000008,29.3800000000001,2.9355,5.42
1999-12-01,2.68456375838926,1.82337733024901,57.5149999999994,93.1500000000001,3.0418,5.3
2000-01-01,2.73889227023737,1.93357304592291,14.2250000000004,-4.55000000000018,3.0429,5.45
2000-02-01,3.22188449848025,2.02437767196322,-0.600000000000364,-4.10000000000036,3.2757,5.73
2000-03-01,3.75757575757575,2.05861720875323,57.6000000000004,10.2400000000007,3.5104,5.85
2000-04-01,3.06859205776174,1.80857049673868,83.1750000000002,42.1499999999996,3.685,6.02
2000-05-01,3.18892900120338,1.86135346535924,-82.6350000000002,-8.42000000000007,3.92,6.27
2000-06-01,3.73044524669075,2.21213428523996,27.6599999999999,8.80000000000018,4.2945,6.53
2000-07-01,3.65926814637075,2.18228059844159,10.6000000000004,-1.48000000000047,4.3086,6.54
2000-08-01,3.41113105924597,2.13933243073884,35.125,-8.06999999999971,4.4191,6.5
2000-09-01,3.45443716497914,2.47315619567113,33.5749999999998,5.63000000000011,4.5905,6.52
2000-10-01,3.44827586206897,2.47185651896388,9.97999999999956,4.77999999999975,4.7627,6.51
2000-11-01,3.44622697563873,2.54911777203968,32.7200000000003,23.5200000000004,4.8291,6.51
2000-12-01,3.38680926916221,2.6,57.625,88.8299999999999,4.8268,6.4
2001-01-01,3.73222748815164,2.1,41.8949999999995,48.9499999999998,4.7559,5.98
2001-02-01,3.53356890459364,2.1,21.0800000000008,7,4.9925,5.49
2001-03-01,2.92056074766355,2.3,87,29.5,4.7814,5.31
2001-04-01,3.26911850554583,2.8,77.96,37.8900000000003,5.0642,4.8
2001-05-01,3.61516034985422,3.1,-57.835,22.4099999999999,4.6536,4.21
2001-06-01,3.24825986078885,2.9,50.25,46.8199999999997,4.5395,3.97
2001-07-01,2.7199074074074,2.6,23.3249999999998,-12.2799999999997,4.5055,3.77
2001-08-01,2.7199074074074,2.4,41.5249999999996,-18.8500000000004,4.4913,3.65
2001-09-01,2.64824409902132,2.3,105.900000000001,47.6700000000001,3.9865,3.07
2001-10-01,2.12643678160919,2.3,-14.0250000000005,4.19000000000051,3.9713,2.49
2001-11-01,1.89546237794372,2,63.3500000000004,52.1099999999997,3.5073,2.09
2001-12-01,1.55172413793103,2.1,77.2700000000004,119.32,3.3389,1.82
2002-01-01,1.14220445459737,2.6,-1.52000000000044,-28.6999999999998,3.2936,1.73
2002-02-01,1.13765642775882,2.5,8.89999999999964,-11.21,3.283,1.74
2002-03-01,1.47559591373441,2.5,47.9000000000005,25.79,3.264,1.73
2002-04-01,1.63934426229508,2.4,21.6799999999994,36.0799999999999,3.3162,1.75
2002-05-01,1.1817670230726,2.1,-34.8299999999999,21.8800000000001,3.31,1.75
2002-06-01,1.06741573033709,1.9,35.2750000000005,39.96,3.3485,1.75
2002-07-01,1.46478873239436,2,35.2749999999996,-9.84999999999945,3.3017,1.73
2002-08-01,1.80281690140844,2.2,50.8249999999998,-8.05000000000018,3.2927,1.74
2002-09-01,1.51430173864273,2.1,22.1350000000002,41.8699999999999,3.3186,1.75
2002-10-01,2.02588632526732,2.3,41.9399999999996,18.8900000000003,3.3004,1.75
