"DATE","CPIUS","CPIEU","M2US","M2EU","IREU","IRUS"
1999-02-01,-0.76397158181138,-0.836797364346775,-0.490644939734688,-1.58819640009198,0.552907222132928,-0.00867102134368471
1999-03-01,-0.721584499756331,-0.719144570076392,0.00276016439109495,-0.381122634686465,0.460928936737574,0.00492187072172199
1999-04-01,-0.527617860927703,-0.653234327596569,0.285535285181503,-0.319206002297643,0.357835018304296,-0.0141081781698473
1999-05-01,-0.594005717169602,-0.73882659252947,-0.986473669571873,-0.167319894366473,0.282410916016923,-0.0141081781698473
1999-06-01,-0.638128525510332,-0.772807710844637,-0.0215888194999635,-0.227633507146524,0.288231118723475,-0.00867102134368471
1999-07-01,-0.574225165269073,-0.68869115482107,-0.145701001278001,-0.411980762155339,0.268051235568789,0.0538562821571864
1999-08-01,-0.532035425969951,-0.630006436575276,-0.242815119899058,-1.36377365486386,0.230744690351379,0.0756049094618373
1999-09-01,-0.403825507112908,-0.545693009581014,-0.187522635646444,-0.559258188711288,0.226403391611245,0.116383585658057
1999-10-01,-0.42756193790288,-0.494989450678536,-0.234473338380837,-0.357478095457077,0.258986985452027,0.110946428831895
1999-11-01,-0.406083618891605,-0.410849990214951,-0.0683704320684219,-0.156699889458353,0.46584271443245,0.170755153919684
1999-12-01,-0.384028700712243,-0.226356849134189,0.230130074151602,1.12110711618423,0.516554808506756,0.138132212962708
2000-01-01,-0.364891784926587,-0.158255418917318,-0.257864144665061,-0.83658058102889,0.517079580881937,0.178910889158929
2000-02-01,-0.194760461932661,-0.102137766195199,-0.424981591972928,-0.82756359572955,0.628140498102054,0.255031084725206
2000-03-01,-0.00606619876043901,-0.0809775839585035,0.231088251758438,-0.540222330857103,0.740107840333847,0.287654025682182
2000-04-01,-0.24875687061047,-0.235507536462366,0.51938698463523,0.0991821155919083,0.823403528248934,0.333869858704565
2000-05-01,-0.20636885234514,-0.202887432929578,-1.3497357093355,-0.914126654603246,0.935513990219413,0.401834319031599
2000-06-01,-0.0156227701511593,0.0138966351299913,-0.106415719398214,-0.569076683815014,1.11417513067875,0.472517357771714
2000-07-01,-0.0406945074094731,-0.0045530727899786,-0.298727601426679,-0.775064703542261,1.12090175839698,0.475235936184796
2000-08-01,-0.128099414668497,-0.0310952267009953,-0.0222651801635984,-0.90711344381486,1.17361752881288,0.46436162253247
2000-09-01,-0.1128450800617,0.175209307855914,-0.0397378306409822,-0.632596335812616,1.25538660618199,0.469798779358633
2000-10-01,-0.115015364704348,0.174406102013999,-0.305716661617641,-0.649628419155828,1.33753733618759,0.467080200945551
2000-11-01,-0.115737073540759,0.222153891505019,-0.0493759700978548,-0.274121075800914,1.3692145050167,0.467080200945551
2000-12-01,-0.136666629796542,0.253599329066067,0.231370068701617,1.03454405731052,1.36811725368677,0.437175838401657
2001-01-01,-0.0149949855204646,-0.0554028394864846,0.0540508480505074,0.235438782337553,1.33429328877738,0.32299554505224
2001-02-01,-0.0849713654050417,-0.0554028394864846,-0.180589938844121,-0.605144625012393,1.44716705602085,0.189785202811254
2001-03-01,-0.300900075322378,0.0681980279345359,0.562504976942315,-0.154295360045197,1.34645846656567,0.140850791375789
2001-04-01,-0.178122545952923,0.377200196487087,0.460599970287135,0.0138213214247997,1.48137267356674,0.0022032923086407
2001-05-01,-0.0562312331307213,0.562601497618618,-1.0701733016974,-0.296362972872641,1.28548945788555,-0.158192834063159
2001-06-01,-0.185469887423148,0.439000630197598,0.148234070462463,0.19275838525399,1.23105625060542,-0.223438715977111
2001-07-01,-0.371579097146644,0.253599329066067,-0.155282777346247,-0.991472350726501,1.21483601355437,-0.277810284238738
2001-08-01,-0.371579097146644,0.129998461645046,0.0498799572913917,-1.12312033609693,1.20806167925658,-0.310433225195714
2001-09-01,-0.396822098488924,0.0681980279345359,0.775558585989107,0.209790468597202,0.96723886562808,-0.468110773154433
2001-10-01,-0.580625820511952,0.0681980279345359,-0.576317290462508,-0.661450688770508,0.95998746553467,-0.625788321113151
2001-11-01,-0.661985268087948,-0.117203273196995,0.29590614869066,0.298758056884054,0.738628936367428,-0.734531457636405
2001-12-01,-0.783065149123953,-0.0554028394864846,0.452821822655273,1.64549490570384,0.658291056385178,-0.807933074789601
2002-01-01,-0.927316177284542,0.253599329066067,-0.435352455482084,-1.32049212542701,0.636679975843635,-0.832400280507334
2002-02-01,-0.92891819441403,0.191798895355557,-0.31789115356317,-0.970031963459178,0.631623078410073,-0.829681702094252
2002-03-01,-0.809880892198883,0.191798895355557,0.121743277803213,-0.228635394402011,0.622558828293311,-0.832400280507334
2002-04-01,-0.752201448204417,0.129998461645046,-0.173826332207731,-0.0224469972236805,0.647461662824626,-0.826963123681171
2002-05-01,-0.913380482832034,-0.0554028394864846,-0.81084535057987,-0.306982977780752,0.644503854891788,-0.826963123681171
2002-06-01,-0.95366008896552,-0.179003706907505,-0.0205742785044913,0.0552994538017759,0.662870888023121,-0.826963123681171
2002-07-01,-0.813687661649205,-0.117203273196995,-0.0205742785045015,-0.942780630110038,0.640544208788149,-0.832400280507334
2002-08-01,-0.694619121327557,0.00639759422402578,0.154715860155683,-0.906712688912677,0.636250616627578,-0.829681702094252
2002-09-01,-0.796246980897287,-0.0554028394864846,-0.168697263841781,0.0935715469612105,0.648606620734111,-0.826963123681171
2002-10-01,-0.616044158871805,0.0681980279345359,0.054558118548239,-0.36689583565861,0.639924023253844,-0.826963123681171
2002-11-01,-0.555269552858292,0.0681980279345359,0.290269809826988,0.546624963890462,0.641784579856759,-0.938424838617506
