DATE,SPASTT01USM661N
1960-01-01,3.41815590374
1960-02-01,3.25591937148393
1960-03-01,3.20557010285274
1960-04-01,3.23354191875895
1960-05-01,3.20557010285274
1960-06-01,3.35661790874632
1960-07-01,3.26151373466517
1960-08-01,3.25591937148393
1960-09-01,3.11606029195283
1960-10-01,3.03773920741542
1960-11-01,3.13284338149656
1960-12-01,3.17759828694652
1961-01-01,3.29507991375264
1961-02-01,3.39018408783378
1961-03-01,3.49647698827742
1961-04-01,3.56920370963359
1961-05-01,3.61395861508354
1961-06-01,3.60276988872105
1961-07-01,3.5971755255398
1961-08-01,3.74262896825215
1961-09-01,3.70346842598344
1961-10-01,3.66430788371473
1961-11-01,3.77619514733961
1961-12-01,3.79857260006458
1962-01-01,3.67549661007722
1962-02-01,3.70906278916468
1962-03-01,3.72025151552717
1962-04-01,3.5971755255398
1962-05-01,3.35661790874632
1962-06-01,2.98179557560298
1962-07-01,3.03214484423418
1962-08-01,3.13843774467781
1962-09-01,3.11046592877159
1962-10-01,3.02655048105293
1962-11-01,3.27829682420891
1962-12-01,3.3789953614713
1963-01-01,3.50207135145866
1963-02-01,3.54123189372737
1963-03-01,3.51326007782115
1963-04-01,3.68668533643971
1963-05-01,3.75381769461463
1963-06-01,3.74822333143339
1963-07-01,3.65311915735224
1963-08-01,3.72025151552717
1963-09-01,3.84892186869578
1963-10-01,3.89367677414573
1963-11-01,3.87129932142075
1963-12-01,3.96080913232066
1964-01-01,4.05031894322056
1964-02-01,4.13423439093922
1964-03-01,4.23493292820161
1964-04-01,4.27968783365156
1964-05-01,4.29087656001404
1964-06-01,4.26290474410783
1964-07-01,4.41543432835332
1964-08-01,4.36789263975732
1964-09-01,4.44811923926307
1964-10-01,4.53230764615182
1964-11-01,4.56400210521581
1964-12-01,4.48278505386432
1965-01-01,4.58876340135956
1965-02-01,4.62838147518956
1965-03-01,4.63333373441831
1965-04-01,4.69375129700906
1965-05-01,4.75515931144556
1965-06-01,4.51348906108257
1965-07-01,4.49962273524207
1965-08-01,4.59173475689681
1965-09-01,4.74921660037106
1965-10-01,4.85816630340355
1965-11-01,4.89580347354205
1965-12-01,4.9146220586113
1966-01-01,5.00737852520531
1966-02-01,4.98671827812777
1966-03-01,4.78168169321307
1966-04-01,4.91228283779993
1966-05-01,4.64129412023641
1966-06-01,4.61573376578068
1966-07-01,4.60215983287777
1966-08-01,4.32997214161183
1966-09-01,4.15850370157386
1966-10-01,4.10959224854047
1966-11-01,4.33036611138766
1966-12-01,4.37281409056575
1967-01-01,4.55786323493533
1967-02-01,4.73328796881958
1967-03-01,4.8541812073654
1967-04-01,4.94382196106382
1967-05-01,5.05029550308765
1967-06-01,5.00523778906765
1967-07-01,5.11710216568646
1967-08-01,5.19562695890267
1967-09-01,5.27136523896915
1967-10-01,5.26173555557325
1967-11-01,5.09061585816151
1967-12-01,5.25407140345118
1968-01-01,5.27194421017091
1968-02-01,5.01892655528619
1968-03-01,4.899619020503
1968-04-01,5.27140738479088
1968-05-01,5.4321153596701
1968-06-01,5.60887063714648
1968-07-01,5.58679503971775
1968-08-01,5.45027164855255
1968-09-01,5.62506784774869
1968-10-01,5.77529918616418
1968-11-01,5.88639398007814
1968-12-01,5.97337414297642
1969-01-01,5.72554819772759
1969-02-01,5.67754689776313
1969-03-01,5.51497745432681
1969-04-01,5.60575553643904
1969-05-01,5.79325315637083
1969-06-01,5.46613022215999
1969-07-01,5.18936374326076
1969-08-01,5.15893846850513
1969-09-01,5.1857780048449
1969-10-01,5.27501584448754
1969-11-01,5.33254568724148
1969-12-01,5.03855305901398
1970-01-01,5.00309303502833
1970-02-01,4.82874291657515
1970-03-01,4.89791534590246
1970-04-01,4.70503607916484
1970-05-01,4.12421171625747
1970-06-01,4.08780839385551
1970-07-01,4.07498159398307
1970-08-01,4.18664551570798
1970-09-01,4.46608792648645
1970-10-01,4.56090163024721
1970-11-01,4.53912841504081
1970-12-01,4.85287425606771
1971-01-01,5.07918965760266
1971-02-01,5.29002030960321
1971-03-01,5.43609431860274
1971-04-01,5.62594539868308
1971-05-01,5.54551912647633
1971-06-01,5.45254119168716
1971-07-01,5.42942991220089
1971-08-01,5.32133145206873
1971-09-01,5.44150725633978
1971-10-01,5.32431957209815
1971-11-01,5.06721221779275
1971-12-01,5.42247717218394
1972-01-01,5.66324333639437
1972-02-01,5.78796062456361
1972-03-01,5.9382441114092
1972-04-01,6.00631812696476
1972-05-01,5.92442964761878
1972-06-01,5.929423290624
1972-07-01,5.86379968933846
1972-08-01,6.04733903925321
1972-09-01,5.94715007612004
1972-10-01,5.94131351668014
1972-11-01,6.23779702853225
1972-12-01,6.36350150296683
1973-01-01,6.3760206102434
1973-02-01,6.09215635350604
1973-03-01,5.95648176045907
1973-04-01,5.80969850283992
1973-05-01,5.61914489873998
1973-06-01,5.46007817581644
1973-07-01,5.55803041336154
1973-08-01,5.47903012161879
1973-09-01,5.61588884367319
1973-10-01,5.86977279187503
1973-11-01,5.4061315239976
1973-12-01,4.99026665661411
1974-01-01,5.08955923431344
1974-02-01,4.95210940306063
1974-03-01,5.16450439557506
1974-04-01,4.87320763888336
1974-05-01,4.68892275747936
1974-06-01,4.66797755781821
1974-07-01,4.28479540779126
1974-08-01,3.94704986272169
1974-09-01,3.53450314524902
1974-10-01,3.62613284456668
1974-11-01,3.76153800405817
1974-12-01,3.50644762702634
1975-01-01,3.81839867418611
1975-02-01,4.20644876964639
1975-03-01,4.39221744621608
1975-04-01,4.44778905360621
1975-05-01,4.72923394349556
